[CRITICAL] score=2.600  Mar 12 14:30:10  app-server-01  APP  APP/authentication failed  corr=corr-88690-001
[CRITICAL] score=2.579  Mar 12 16:20:15  app-server-01  APP  APP/authentication failed  corr=corr-02206-001
[CRITICAL] score=2.543  Mar 12 17:45:00  sys-01  SYS  SYS/health check FAILED  corr=corr-26655-001
[CRITICAL] score=2.506  Mar 12 13:15:00  fw-01  IDM  IDM/privilege escalation attempt  corr=corr-39668-001
[CRITICAL] score=2.506  Mar 12 16:45:18  fw-01  IDM  IDM/privilege escalation attempt  corr=corr-19120-001
[CRITICAL] score=2.500  Mar 12 13:52:10  app-server-01  APP  APP/authentication failed  corr=corr-68680-001
[CRITICAL] score=2.489  Mar 12 13:51:40  fw-01  FW  FW/connection denied  corr=corr-17561-001
[CRITICAL] score=2.489  Mar 12 16:20:00  fw-01  FW  FW/connection denied  corr=corr-79062-001
[CRITICAL] score=2.472  Mar 12 10:00:12  fw-01  IDM  IDM/privilege escalation attempt  corr=corr-89359-001
[CRITICAL] score=2.450  Mar 12 14:30:11  app-server-01  APP  APP/authentication failed  corr=corr-88690-002
[CRITICAL] score=2.440  Mar 12 16:45:00  fw-01  IDM  IDM/ACL error  corr=corr-27046-001
[CRITICAL] score=2.430  Mar 12 13:15:22  fw-01  IDM  IDM/ACL error  corr=corr-72261-001
[CRITICAL] score=2.393  Mar 12 17:45:10  sys-01  SYS  SYS/health check FAILED  corr=corr-26655-002
[CRITICAL] score=2.350  Mar 12 10:21:50  app-server-01  APP  APP/Database timeout  corr=corr-19931-022
[CRITICAL] score=2.350  Mar 12 10:25:00  app-server-01  APP  APP/Database timeout  corr=corr-19931-025
[CRITICAL] score=2.350  Mar 12 10:28:21  app-server-01  APP  APP/Database timeout  corr=corr-19931-028
[CRITICAL] score=2.350  Mar 12 10:42:35  app-server-01  APP  APP/Database timeout  corr=corr-71185-013
[CRITICAL] score=2.350  Mar 12 10:43:53  app-server-01  APP  APP/Database timeout  corr=corr-71185-014
[CRITICAL] score=2.350  Mar 12 10:51:41  app-server-01  APP  APP/Database timeout  corr=corr-71185-021
[CRITICAL] score=2.350  Mar 12 10:55:04  app-server-01  APP  APP/Database timeout  corr=corr-71185-024
[CRITICAL] score=2.350  Mar 12 10:57:33  app-server-01  APP  APP/Database timeout  corr=corr-71185-026
[CRITICAL] score=2.350  Mar 12 10:58:35  app-server-01  APP  APP/Database timeout  corr=corr-71185-027
[CRITICAL] score=2.350  Mar 12 10:59:51  app-server-01  APP  APP/Database timeout  corr=corr-71185-028
[CRITICAL] score=2.350  Mar 12 11:23:27  app-server-01  APP  APP/Database timeout  corr=corr-08626-023
[CRITICAL] score=2.350  Mar 12 11:28:01  app-server-01  APP  APP/Database timeout  corr=corr-08626-027
[CRITICAL] score=2.350  Mar 12 12:08:23  app-server-01  APP  APP/Database timeout  corr=corr-75242-009
[CRITICAL] score=2.350  Mar 12 12:11:52  app-server-01  APP  APP/Database timeout  corr=corr-75242-012
[CRITICAL] score=2.350  Mar 12 12:19:02  app-server-01  APP  APP/Database timeout  corr=corr-75242-019
[CRITICAL] score=2.350  Mar 12 12:23:31  app-server-01  APP  APP/Database timeout  corr=corr-75242-023
[CRITICAL] score=2.350  Mar 12 12:41:45  app-server-01  APP  APP/Database timeout  corr=corr-33123-011
[CRITICAL] score=2.350  Mar 12 12:47:12  app-server-01  APP  APP/Database timeout  corr=corr-33123-016
[CRITICAL] score=2.350  Mar 12 12:50:56  app-server-01  APP  APP/Database timeout  corr=corr-33123-019
[CRITICAL] score=2.350  Mar 12 12:54:48  app-server-01  APP  APP/Database timeout  corr=corr-33123-022
